slug,location,latitude,longitude,water_name,city,river_bassin,canton,zone
baye-de-montreux-g,Baye de Montreux G,46.430834,6.908778,Lac Léman,Montreux,rhone,Vaud,lac
boiron,Boiron,46.4910297,6.4801618,Lac Léman,Tolochenaz,rhone,Vaud,lac
cully-plage,Cully plage,46.4888866,6.7413961,Lac Léman,Bourg-en-Lavaux,rhone,Vaud,lac
grand-clos,Grand Clos,46.387746,6.843686,Lac Léman,Saint-Gingolph,rhone,Valais,lac
jardin-botanique,Jardin Botanique,46.2259088,6.1493572,Lac Léman,Genève,rhone,Genève,lac
la-morges,La Morges,46.504063,6.494099,Lac Léman,Morges,rhone,Vaud,lac
la-pecherie,La Pêcherie,46.4639187,6.3857321,Lac Léman,Allaman,rhone,Vaud,lac
lacleman_gland_kubela,lacléman_gland_kubela,46.4028693,6.2819358,Lac Léman,Gland,rhone,Vaud,lac
lacleman_gland_lecoanets,Lacléman_Gland_LecoanetS,46.4028106,6.2819586,Lac Léman,Gland,rhone,Vaud,lac
lacleman_vidy_santie,lacléman_vidy_santie,46.5183178,6.5896078,Lac Léman,Lausanne,rhone,Vaud,lac
le-pierrier,Le Pierrier,46.439727,6.888968,Lac Léman,Montreux,rhone,Vaud,lac
le-port,Le Port,46.452245,6.85518,Lac Léman,La Tour-de-Peilz,rhone,Vaud,lac
oyonne,Oyonne,46.456682,6.852262,Lac Léman,La Tour-de-Peilz,rhone,Vaud,lac
pierrier-sud,Pierrier sud,46.4395601,6.8910001,Lac Léman,Montreux,rhone,Vaud,lac
plage-de-dorigny,Plage de Dorigny,46.518169,6.583319,Lac Léman,Saint-Sulpice (VD),rhone,Vaud,lac
preverenges,Préverenges,46.51269,6.527657,Lac Léman,Préverenges,rhone,Vaud,lac
preverenges-le-sout,preverenges-le sout,46.5089049,6.5345263,Lac Léman,Préverenges,rhone,Vaud,lac
quai-maria-belgia,Quai Maria Belgia,46.460156,6.836718,Lac Léman,Vevey,rhone,Vaud,lac
rocky-plage,Rocky plage,46.20973675,6.16495237,Lac Léman,Genève,rhone,Genève,lac
rolle-plage,Rolle-plage,46.4613,6.349739,Lac Léman,Rolle,rhone,Vaud,lac
saint-sulpice,Saint Sulpice,46.507808,6.545344,Lac Léman,Saint-Sulpice (VD),rhone,Vaud,lac
tolochenaz,Tolochenaz,46.4975095,6.4828747,Lac Léman,Tolochenaz,rhone,Vaud,lac
versoix,Versoix,46.289194,6.1705693,Lac Léman,Versoix,rhone,Genève,lac
veveyse,Veveyse,46.461022,6.834983,Lac Léman,Vevey,rhone,Vaud,lac
vidy,Vidy,46.5147155,6.5985884,Lac Léman,Lausanne,rhone,Vaud,lac
vidy-ruines,Vidy ruines,46.516221,6.596279,Lac Léman,Lausanne,rhone,Vaud,lac
